,Document_ID,Token_ID,Token_Name,Count_for_Doc,TF_IDF_for_Doc,Token_Freq_per_Docs,IDF_for_Token
304,0,304,af,6,0.004353407,0.001126972,1.15415068
306,0,306,affecting,1,0.001161321,0.000187829,1.84729786
312,0,312,affiliation,4,0.003360744,0.000751315,1.336472237
313,0,313,african,2,0.001680372,0.000375657,1.336472237
314,0,314,african american,2,0.001680372,0.000375657,1.336472237
315,0,315,ag apha,4,0.004645286,0.000751315,1.84729786
318,0,318,agatston,4,0.003921869,0.000751315,1.559615788
319,0,319,age age,1,0.000725568,0.000187829,1.15415068
323,0,323,age child,2,0.002322643,0.000375657,1.84729786
325,0,325,age gender,1,0.000840186,0.000187829,1.336472237
326,0,326,age group,12,0.008706814,0.002253944,1.15415068
327,0,327,age higher,2,0.001960935,0.000375657,1.559615788
328,0,328,age limit,1,0.001161321,0.000187829,1.84729786
331,0,331,age race,1,0.000840186,0.000187829,1.336472237
332,0,332,age range,3,0.002520558,0.000563486,1.336472237
333,0,333,age related,2,0.001680372,0.000375657,1.336472237
334,0,334,age sex,3,0.002176703,0.000563486,1.15415068
335,0,335,age specific,1,0.000980467,0.000187829,1.559615788
341,0,341,age woman,2,0.002322643,0.000375657,1.84729786
342,0,342,age year,8,0.005804543,0.00150263,1.15415068
346,0,346,agency,2,0.001451136,0.000375657,1.15415068
348,0,348,aggravate,2,0.002322643,0.000375657,1.84729786
349,0,349,aggravating,6,0.008497325,0.001126972,2.252762968
350,0,350,aggregation,1,0.000840186,0.000187829,1.336472237
351,0,351,aggressive,4,0.003921869,0.000751315,1.559615788
352,0,352,aging,14,0.011762604,0.002629602,1.336472237
355,0,355,agonist,4,0.004645286,0.000751315,1.84729786
356,0,356,agostino,3,0.002941402,0.000563486,1.559615788
357,0,357,agostino rb,3,0.002941402,0.000563486,1.559615788
358,0,358,agreement,2,0.001960935,0.000375657,1.559615788
359,0,359,ah,44,0.031924984,0.008264463,1.15415068
360,0,360,ah et,2,0.001960935,0.000375657,1.559615788
361,0,361,aha,13,0.009432382,0.002441773,1.15415068
362,0,362,aha acc,6,0.005882804,0.001126972,1.559615788
364,0,364,aha guideline,2,0.001680372,0.000375657,1.336472237
366,0,366,aha scientific,1,0.001161321,0.000187829,1.84729786
369,0,369,ahead,9,0.010451893,0.001690458,1.84729786
370,0,370,ahead print,9,0.010451893,0.001690458,1.84729786
374,0,374,ai,2,0.001960935,0.000375657,1.559615788
377,0,377,aid,3,0.002520558,0.000563486,1.336472237
378,0,378,aim,4,0.003360744,0.000751315,1.336472237
379,0,379,aimed,15,0.01470701,0.002817431,1.559615788
380,0,380,air,25,0.029033035,0.004695718,1.84729786
381,0,381,air pollution,16,0.022659534,0.003005259,2.252762968
382,0,382,airway,7,0.009913546,0.001314801,2.252762968
383,0,383,airway pressure,5,0.007081104,0.000939144,2.252762968
388,0,388,al acc,4,0.003360744,0.000751315,1.336472237
390,0,390,al aha,7,0.00812925,0.001314801,1.84729786
391,0,391,al american,2,0.001960935,0.000375657,1.559615788
392,0,392,al ankle,1,0.001161321,0.000187829,1.84729786
393,0,393,al aspirin,1,0.000980467,0.000187829,1.559615788
396,0,396,al association,13,0.009432382,0.002441773,1.15415068
397,0,397,al behalf,1,0.001161321,0.000187829,1.84729786
398,0,398,al blood,1,0.000980467,0.000187829,1.559615788
400,0,400,al cardiovascular,8,0.006721488,0.00150263,1.336472237
401,0,401,al change,1,0.000840186,0.000187829,1.336472237
402,0,402,al childhood,1,0.001161321,0.000187829,1.84729786
403,0,403,al cholesterol,1,0.000980467,0.000187829,1.559615788
405,0,405,al comparison,2,0.001451136,0.000375657,1.15415068
407,0,407,al cost,5,0.007081104,0.000939144,2.252762968
413,0,413,al dietary,5,0.005806607,0.000939144,1.84729786
414,0,414,al doe,1,0.000980467,0.000187829,1.559615788
416,0,416,al effectiveness,1,0.000840186,0.000187829,1.336472237
417,0,417,al efficacy,4,0.003360744,0.000751315,1.336472237
418,0,418,al esc,5,0.005806607,0.000939144,1.84729786
419,0,419,al et,3,0.002941402,0.000563486,1.559615788
420,0,420,al european,2,0.001680372,0.000375657,1.336472237
421,0,421,al evaluation,1,0.000980467,0.000187829,1.559615788
422,0,422,al exercise,4,0.004645286,0.000751315,1.84729786
423,0,423,al ezetimibe,1,0.001161321,0.000187829,1.84729786
425,0,425,al global,6,0.006967928,0.001126972,1.84729786
426,0,426,al heart,2,0.001960935,0.000375657,1.559615788
428,0,428,al impact,2,0.001680372,0.000375657,1.336472237
429,0,429,al implication,1,0.001161321,0.000187829,1.84729786
430,0,430,al improvement,1,0.000980467,0.000187829,1.559615788
435,0,435,al influence,1,0.000840186,0.000187829,1.336472237
438,0,438,al long,3,0.002520558,0.000563486,1.336472237
439,0,439,al low,3,0.002520558,0.000563486,1.336472237
441,0,441,al metabolic,2,0.002322643,0.000375657,1.84729786
444,0,444,al physical,5,0.005806607,0.000939144,1.84729786
448,0,448,al prediction,1,0.000980467,0.000187829,1.559615788
450,0,450,al predictor,2,0.001960935,0.000375657,1.559615788
451,0,451,al prevalence,2,0.001680372,0.000375657,1.336472237
452,0,452,al prevention,1,0.000840186,0.000187829,1.336472237
454,0,454,al randomized,2,0.001451136,0.000375657,1.15415068
459,0,459,al risk,1,0.000840186,0.000187829,1.336472237
460,0,460,al role,1,0.000840186,0.000187829,1.336472237
461,0,461,al rosuvastatin,1,0.000980467,0.000187829,1.559615788
465,0,465,al sociedade,5,0.007081104,0.000939144,2.252762968
472,0,472,al use,2,0.001960935,0.000375657,1.559615788
475,0,475,al validation,1,0.000980467,0.000187829,1.559615788
476,0,476,al value,1,0.001161321,0.000187829,1.84729786
477,0,477,al vitamin,3,0.002941402,0.000563486,1.559615788
478,0,478,al year,1,0.000980467,0.000187829,1.559615788
479,0,479,ala,11,0.012774535,0.002066116,1.84729786
480,0,480,ala supplementation,5,0.007081104,0.000939144,2.252762968
481,0,481,albert,6,0.005041116,0.001126972,1.336472237
482,0,482,albert cm,2,0.002322643,0.000375657,1.84729786
483,0,483,alberto,4,0.005664884,0.000751315,2.252762968
486,0,486,albumin,6,0.005041116,0.001126972,1.336472237
487,0,487,albumin creatinine,4,0.003921869,0.000751315,1.559615788
489,0,489,albuminuria,5,0.004902337,0.000939144,1.559615788
490,0,490,alcohol,39,0.028297145,0.007325319,1.15415068
491,0,491,alcohol consumption,12,0.016994651,0.002253944,2.252762968
492,0,492,alcohol intake,3,0.003483964,0.000563486,1.84729786
493,0,493,alcohol use,3,0.002941402,0.000563486,1.559615788
494,0,494,alcoholism,4,0.005664884,0.000751315,2.252762968
495,0,495,aldosterone,4,0.005664884,0.000751315,2.252762968
496,0,496,alegre,15,0.021243313,0.002817431,2.252762968
497,0,497,alegre brazil,7,0.009913546,0.001314801,2.252762968
498,0,498,algorithm,4,0.002902271,0.000751315,1.15415068
503,0,503,allocated,1,0.000980467,0.000187829,1.559615788
504,0,504,allocation,1,0.000840186,0.000187829,1.336472237
505,0,505,allow,8,0.006721488,0.00150263,1.336472237
506,0,506,allowing,3,0.003483964,0.000563486,1.84729786
507,0,507,allows,8,0.009290571,0.00150263,1.84729786
508,0,508,almeida,5,0.005806607,0.000939144,1.84729786
509,0,509,alpha,6,0.005041116,0.001126972,1.336472237
510,0,510,alpha linolenic,4,0.005664884,0.000751315,2.252762968
511,0,511,alteration,2,0.001960935,0.000375657,1.559615788
512,0,512,altered,2,0.001960935,0.000375657,1.559615788
513,0,513,alternate,2,0.001680372,0.000375657,1.336472237
514,0,514,alternate day,2,0.001960935,0.000375657,1.559615788
515,0,515,alternative,9,0.00653011,0.001690458,1.15415068
516,0,516,altitude,2,0.002322643,0.000375657,1.84729786
519,0,519,alves,4,0.005664884,0.000751315,2.252762968
520,0,520,ambulatory,3,0.002520558,0.000563486,1.336472237
522,0,522,america,2,0.001960935,0.000375657,1.559615788
523,0,523,american academy,1,0.000980467,0.000187829,1.559615788
525,0,525,american diabetes,1,0.000980467,0.000187829,1.559615788
529,0,529,american society,2,0.002322643,0.000375657,1.84729786
530,0,530,american woman,1,0.000980467,0.000187829,1.559615788
531,0,531,amgen,23,0.032573081,0.00432006,2.252762968
532,0,532,amgen sanofi,10,0.014162209,0.001878287,2.252762968
533,0,533,ami,17,0.019742464,0.003193088,1.84729786
534,0,534,ami stroke,8,0.009290571,0.00150263,1.84729786
535,0,535,aminotransferase,2,0.002322643,0.000375657,1.84729786
538,0,538,amputation,10,0.00840186,0.001878287,1.336472237
547,0,547,analysis data,3,0.002941402,0.000563486,1.559615788
549,0,549,analysis did,2,0.001960935,0.000375657,1.559615788
550,0,550,analysis eur,2,0.002322643,0.000375657,1.84729786
552,0,552,analysis global,6,0.006967928,0.001126972,1.84729786
553,0,553,analysis included,1,0.000980467,0.000187829,1.559615788
555,0,555,analysis including,1,0.000725568,0.000187829,1.15415068
556,0,556,analysis individual,1,0.000840186,0.000187829,1.336472237
558,0,558,analysis jama,4,0.003360744,0.000751315,1.336472237
561,0,561,analysis lancet,3,0.002941402,0.000563486,1.559615788
567,0,567,analysis patient,3,0.002941402,0.000563486,1.559615788
570,0,570,analysis prospective,5,0.005806607,0.000939144,1.84729786
571,0,571,analysis randomised,3,0.002176703,0.000563486,1.15415068
572,0,572,analysis randomized,13,0.009432382,0.002441773,1.15415068
577,0,577,analysis showed,1,0.000980467,0.000187829,1.559615788
578,0,578,analysis study,6,0.005041116,0.001126972,1.336472237
579,0,579,analysis suggest,2,0.002322643,0.000375657,1.84729786
582,0,582,analysis trial,1,0.000980467,0.000187829,1.559615788
587,0,587,analysis woman,1,0.001161321,0.000187829,1.84729786
590,0,590,analytic,2,0.001680372,0.000375657,1.336472237
592,0,592,analyzed,7,0.005078975,0.001314801,1.15415068
596,0,596,analyzes,3,0.003483964,0.000563486,1.84729786
597,0,597,anamnesis,13,0.018410872,0.002441773,2.252762968
598,0,598,anatomical,4,0.005664884,0.000751315,2.252762968
599,0,599,ancillary,1,0.000980467,0.000187829,1.559615788
600,0,600,andersen,1,0.000840186,0.000187829,1.336472237
601,0,601,anderson,6,0.004353407,0.001126972,1.15415068
603,0,603,andrade,7,0.00812925,0.001314801,1.84729786
604,0,604,andrei,4,0.005664884,0.000751315,2.252762968
605,0,605,andré,4,0.005664884,0.000751315,2.252762968
606,0,606,aneurysm,5,0.00420093,0.000939144,1.336472237
608,0,608,anger,7,0.00812925,0.001314801,1.84729786
609,0,609,angina,3,0.002176703,0.000563486,1.15415068
613,0,613,angina pectoris,2,0.001680372,0.000375657,1.336472237
615,0,615,angiographic,2,0.001680372,0.000375657,1.336472237
616,0,616,angiography,8,0.007843739,0.00150263,1.559615788
617,0,617,angiography asymptomatic,1,0.001161321,0.000187829,1.84729786
618,0,618,angioplasty,1,0.000840186,0.000187829,1.336472237
619,0,619,angiotensin,12,0.010082232,0.002253944,1.336472237
620,0,620,angiotensin converting,2,0.001680372,0.000375657,1.336472237
621,0,621,angiotensin receptor,2,0.001960935,0.000375657,1.559615788
623,0,623,animal,6,0.005882804,0.001126972,1.559615788
625,0,625,ankle brachial,3,0.002176703,0.000563486,1.15415068
627,0,627,ann epidemiol,2,0.001680372,0.000375657,1.336472237
631,0,631,annually,2,0.001451136,0.000375657,1.15415068
632,0,632,anorexia,2,0.002322643,0.000375657,1.84729786
633,0,633,answer,3,0.002941402,0.000563486,1.559615788
634,0,634,answer question,2,0.002322643,0.000375657,1.84729786
635,0,635,antagonist,4,0.004645286,0.000751315,1.84729786
636,0,636,anterior,5,0.005806607,0.000939144,1.84729786
637,0,637,anthropometric,3,0.003483964,0.000563486,1.84729786
638,0,638,anthropometric measure,1,0.001161321,0.000187829,1.84729786
640,0,640,anti inflammatory,1,0.000980467,0.000187829,1.559615788
641,0,641,anti smoking,17,0.024075755,0.003193088,2.252762968
643,0,643,antibiotic,3,0.003483964,0.000563486,1.84729786
644,0,644,antibody,3,0.003483964,0.000563486,1.84729786
645,0,645,anticoagulant,5,0.007081104,0.000939144,2.252762968
646,0,646,antidepressant,2,0.001960935,0.000375657,1.559615788
647,0,647,antihypertensive,13,0.010922418,0.002441773,1.336472237
648,0,648,antihypertensive drug,4,0.004645286,0.000751315,1.84729786
649,0,649,antihypertensive medication,1,0.000840186,0.000187829,1.336472237
650,0,650,antihypertensive therapy,2,0.001680372,0.000375657,1.336472237
651,0,651,antioxidant,15,0.010883517,0.002817431,1.15415068
652,0,652,antiplatelet,15,0.017419821,0.002817431,1.84729786
653,0,653,antiplatelet agent,6,0.008497325,0.001126972,2.252762968
654,0,654,antiplatelet therapy,4,0.004645286,0.000751315,1.84729786
655,0,655,antithrombotic,2,0.001960935,0.000375657,1.559615788
656,0,656,antithrombotic trialists,2,0.001960935,0.000375657,1.559615788
657,0,657,antonio,9,0.012745988,0.001690458,2.252762968
658,0,658,anxiety,9,0.007561674,0.001690458,1.336472237
659,0,659,aorta,5,0.004902337,0.000939144,1.559615788
660,0,660,aorta coronary,2,0.002322643,0.000375657,1.84729786
661,0,661,aortic,6,0.005041116,0.001126972,1.336472237
662,0,662,aortic aneurysm,4,0.003360744,0.000751315,1.336472237
666,0,666,apha,4,0.004645286,0.000751315,1.84729786
667,0,667,apnea,14,0.016258499,0.002629602,1.84729786
668,0,668,apo,2,0.002322643,0.000375657,1.84729786
669,0,669,apoa,1,0.000980467,0.000187829,1.559615788
670,0,670,apob,3,0.002941402,0.000563486,1.559615788
671,0,671,apolipoprotein,1,0.000980467,0.000187829,1.559615788
676,0,676,apparent,1,0.000840186,0.000187829,1.336472237
682,0,682,appendix,1,0.000840186,0.000187829,1.336472237
691,0,691,appl,2,0.001960935,0.000375657,1.559615788
692,0,692,appl physiol,1,0.000980467,0.000187829,1.559615788
694,0,694,applicable,1,0.000725568,0.000187829,1.15415068
697,0,697,application,11,0.007981246,0.002066116,1.15415068
698,0,698,applied,5,0.004902337,0.000939144,1.559615788
699,0,699,applies,2,0.002322643,0.000375657,1.84729786
700,0,700,apply,3,0.002941402,0.000563486,1.559615788
701,0,701,appointment,6,0.008497325,0.001126972,2.252762968
705,0,705,approach based,1,0.001161321,0.000187829,1.84729786
706,0,706,approaching,4,0.005664884,0.000751315,2.252762968
709,0,709,approved,4,0.003921869,0.000751315,1.559615788
710,0,710,approximately,16,0.011609085,0.003005259,1.15415068
713,0,713,apr,8,0.007843739,0.00150263,1.559615788
715,0,715,april,2,0.001680372,0.000375657,1.336472237
716,0,716,ar,5,0.003627839,0.000939144,1.15415068
717,0,717,ar et,1,0.000980467,0.000187829,1.559615788
720,0,720,araujo,9,0.008824206,0.001690458,1.559615788
721,0,721,araujo cg,7,0.00812925,0.001314801,1.84729786
722,0,722,araújo,13,0.018410872,0.002441773,2.252762968
723,0,723,arb,6,0.005882804,0.001126972,1.559615788
726,0,726,arch pediatr,2,0.002322643,0.000375657,1.84729786
729,0,729,ard,2,0.002322643,0.000375657,1.84729786
731,0,731,arf,8,0.011329767,0.00150263,2.252762968
732,0,732,aric,5,0.004902337,0.000939144,1.559615788
735,0,735,aric study,2,0.001960935,0.000375657,1.559615788
736,0,736,arm,6,0.004353407,0.001126972,1.15415068
739,0,739,armstrong,2,0.001960935,0.000375657,1.559615788
741,0,741,aronow,4,0.004645286,0.000751315,1.84729786
742,0,742,arq,143,0.166068959,0.026859504,1.84729786
743,0,743,arq bra,143,0.166068959,0.026859504,1.84729786
747,0,747,arrhythm electrophysiol,1,0.001161321,0.000187829,1.84729786
748,0,748,arrhythmia,6,0.006967928,0.001126972,1.84729786
751,0,751,arrive,5,0.004902337,0.000939144,1.559615788
752,0,752,art,1,0.000840186,0.000187829,1.336472237
753,0,753,arterial disease,17,0.012334653,0.003193088,1.15415068
754,0,754,arterial hypertension,33,0.046735289,0.006198347,2.252762968
757,0,757,arterioscler,2,0.001680372,0.000375657,1.336472237
758,0,758,arterioscler thromb,2,0.001680372,0.000375657,1.336472237
759,0,759,arteriosclerosis,1,0.001161321,0.000187829,1.84729786
760,0,760,arteriosclerosis thrombosis,1,0.001161321,0.000187829,1.84729786
761,0,761,artery atherosclerosis,1,0.001161321,0.000187829,1.84729786
765,0,765,artery calcium,10,0.009804673,0.001878287,1.559615788
766,0,766,artery disease,56,0.040631798,0.010518407,1.15415068
769,0,769,artery risk,1,0.000725568,0.000187829,1.15415068
771,0,771,arthritis,5,0.00420093,0.000939144,1.336472237
773,0,773,article distributed,1,0.001161321,0.000187829,1.84729786
775,0,775,artificial,2,0.002322643,0.000375657,1.84729786
777,0,777,asa,5,0.004902337,0.000939144,1.559615788
778,0,778,ascend,6,0.006967928,0.001126972,1.84729786
779,0,779,ascend study,2,0.002322643,0.000375657,1.84729786
782,0,782,ascvd,6,0.005041116,0.001126972,1.336472237
783,0,783,ascvd atherosclerotic,1,0.000980467,0.000187829,1.559615788
784,0,784,ase,3,0.003483964,0.000563486,1.84729786
785,0,785,asia,4,0.003921869,0.000751315,1.559615788
787,0,787,ask,8,0.009290571,0.00150263,1.84729786
788,0,788,asked,4,0.004645286,0.000751315,1.84729786
789,0,789,aspc,4,0.004645286,0.000751315,1.84729786
790,0,790,aspect,37,0.031086882,0.006949662,1.336472237
791,0,791,aspirin,22,0.015962492,0.004132231,1.15415068
795,0,795,aspirin benefit,1,0.000980467,0.000187829,1.559615788
796,0,796,aspirin cardiovascular,1,0.001161321,0.000187829,1.84729786
798,0,798,aspirin clopidogrel,5,0.007081104,0.000939144,2.252762968
808,0,808,aspirin mg,2,0.001960935,0.000375657,1.559615788
815,0,815,aspirin primary,4,0.003921869,0.000751315,1.559615788
826,0,826,aspree,4,0.004645286,0.000751315,1.84729786
829,0,829,ass risk,3,0.003483964,0.000563486,1.84729786
830,0,830,assay,1,0.000980467,0.000187829,1.559615788
833,0,833,assembly,3,0.002941402,0.000563486,1.559615788
834,0,834,assessing,6,0.004353407,0.001126972,1.15415068
847,0,847,assessment study,1,0.000980467,0.000187829,1.559615788
