,0,1
59,fatal stroke events,2.6519716232313987e-06
60,cardiovascular disease events,2.6590984989873862e-06
61,affil iates epc,2.660399048766142e-06
62,emerging risk factors,2.8062467535755225e-06
63,coronary artery risk,2.8737902027132163e-06
64,study cardiovascular risk,2.910600005253182e-06
65,hard cvd men,2.9421019153436197e-06
66,abi risk prediction,2.9618689887946437e-06
67,coronary prevention study,2.9885762020870673e-06
68,cvd events,3.044755548436699e-06
69,hard cvd outcomes,3.0843386479740578e-06
70,hard cvd,3.1245017345506104e-06
71,mesa hard cvd,3.1460135672245355e-06
72,prevention study table,3.179824524362131e-06
73,score risk factors,3.183160088820202e-06
74,heart study,3.277343444197152e-06
75,coronary events,3.3591173501777264e-06
76,affiliates epc figure,3.56994115512095e-06
77,soft cvd events,3.621813530594592e-06
78,cvd risk prediction,3.7673192213759667e-06
79,coronary events table,3.778213129076977e-06
80,coronary events study,3.7787632434857445e-06
81,cardiovascular event risk,3.9369993192939004e-06
82,cvd event composite,3.965888609973256e-06
83,cardiovascular risk recommendation,4.0534957030903975e-06
84,heart disease,4.055899606576042e-06
85,hard chd,4.195652904183386e-06
86,health study,4.222921973114305e-06
87,diabetes heart study,4.291811800390128e-06
88,cardiovascular health outcomes,4.303605508677719e-06
89,major cvd events,4.338050685645922e-06
90,characteristics table risk,4.5376162968872046e-06
91,cardiovascular events prevention,4.563186726603186e-06
92,risk,4.611711161849395e-06
93,risk prediction models,4.656032358701935e-06
94,traditional cardiovascular risk,4.663836666569622e-06
95,study hard chd,4.685628563819193e-06
96,coronary artery calcium,4.8238917250916854e-06
97,disease risk assessment,4.8497598881919985e-06
98,risk factor study,4.868713295132851e-06
99,cvd high risk,4.913993350504489e-06
100,stroke risk factors,5.352341487283103e-06
101,outcome diabetes events,5.431000940667853e-06
102,outcome men events,5.454437334592906e-06
103,epc model type,5.568087199956861e-06
104,nonfatal stroke events,5.604449671113896e-06
105,coronary risk factors,5.763963064646269e-06
106,cardiovascular prevention,5.875388596140744e-06
107,research affil,5.8990526250813045e-06
108,fatal cvd outcomes,5.91229271774809e-06
109,base model study,5.970739848849928e-06
110,cvd hard chd,6.008948335091802e-06
111,risk nontraditional risk,6.082643533139412e-06
112,traditional risk factors,6.275196453795344e-06
113,cvd outcomes,6.285078390749677e-06
114,heart disease study,6.3816960744344095e-06
115,park heart study,6.400648583369912e-06
116,heart health study,6.45847267833302e-06
117,soft cvd outcomes,6.521113156019722e-06
118,cvd low risk,6.632873413766352e-06
119,nonfatal coronary event,6.639715757817349e-06
120,model development studies,6.719446952757376e-06
121,cardiovascular events circulation,6.729862960930379e-06
122,soft cvd women,6.878130276900483e-06
123,ischemic heart disease,6.897656816587065e-06
124,cvd event,6.90639673181983e-06
125,cvd risk hot,6.987031869290473e-06
126,francis heart study,6.993381457922421e-06
127,total stroke events,7.071438566109581e-06
128,coronary heart,7.11323714183319e-06
129,cvd event table,7.1632190841712096e-06
130,health study aspirin,7.2636071845910046e-06
131,hnr hard cvd,7.299605768386965e-06
132,epc risk factor,7.347876905003958e-06
133,hard cvd risk,7.367247554166887e-06
134,hard cvd intermediate,7.563761224983323e-06
135,prevent cardiovascular,7.745008363182832e-06
136,soft cvd,7.786602696458102e-06
137,health abc heart,7.787310873016974e-06
138,composite cvd events,7.931777219946512e-06
139,study soft cvd,8.030161893639192e-06
140,risk fatal cvd,8.068847734130643e-06
141,cvd,8.28300902449803e-06
142,heart study offspring,8.324237082626224e-06
143,soft cvd men,8.384654272397656e-06
144,study reference quality,8.468095650168808e-06
145,disease risk,8.564397926516121e-06
146,cardiovascular events march,8.675966982885912e-06
147,cardiovascular health risks,8.812428219149811e-06
148,evidence nontraditional risk,8.924560923078747e-06
149,nonfatal cvd events,8.981547174605516e-06
150,high cardiovascular risk,9.108613851191967e-06
151,nonfatal stroke study,9.1117114420945e-06
152,epc table,9.189522243751514e-06
153,risk assessment,9.217049218766527e-06
154,risk prediction,9.383100482989691e-06
155,risk score,9.503979456460907e-06
156,pmid,9.625878789586592e-06
157,primary prevention,9.781050905781374e-06
158,updated cardiovascular,9.788293868581067e-06
159,patient health outcomes,9.873935970978075e-06
160,hard cvd defined,9.98307292091556e-06
161,heart study hard,1.0002569924422892e-05
162,cvd cardiovascular disease,1.0082941398374982e-05
163,cardiovascular disease cvd,1.0082941398374982e-05
164,primary prevention trials,1.0263186341236696e-05
165,cvd soft cvd,1.0296600903616084e-05
166,american heart,1.031527310931061e-05
167,bogalusa heart study,1.0328743040757537e-05
168,risk score study,1.0403639992035269e-05
169,study,1.0435801192137535e-05
170,epc risk score,1.0471283767492589e-05
171,health study hard,1.047243872141756e-05
172,nonfatal stroke table,1.0631325670956694e-05
173,major cardiovascular events,1.0723132308771866e-05
174,global cardiovascular risk,1.0929034753403668e-05
175,risk assessment models,1.0938907412660707e-05
176,soft cvd intermediate,1.0995059274777277e-05
177,risk score characteristics,1.1081457580738758e-05
178,heart failure risk,1.1129160126849361e-05
179,prevent cardiovascular disease,1.1140188949298035e-05
180,heart association task,1.1197867950996519e-05
181,cardiovascular risk prevention,1.1206680368429907e-05
182,health study research,1.1230965858930701e-05
183,events study reference,1.1284719045780334e-05
184,hemorrhagic stroke events,1.1297038922588861e-05
185,mesa soft cvd,1.140537836509467e-05
186,cardiovascular events bmd,1.1511475094879277e-05
187,chinese health study,1.1540616901273745e-05
188,coronary risk study,1.1599783143703267e-05
189,year cvd risk,1.1618316006550989e-05
190,included hscrp risk,1.1619165626460099e-05
191,physician health study,1.168412422997498e-05
192,traditional cvd risk,1.1708991966686952e-05
193,coronary artery,1.1835572197067905e-05
194,health abc study,1.1838152710655228e-05
195,collaboration hard chd,1.1926632951764659e-05
196,chd hard cvd,1.2017896670183606e-05
197,stroke events,1.2126958401580136e-05
198,fatal coronary events,1.2138362321822184e-05
199,cvd composite reported,1.2160054546627252e-05
